"codmpio","ano","monetary_poverty_rate","extreme_monetary_poverty_rate","gini_coefficient"
99000,2017,NA,NA,NA
99001,2017,NA,NA,NA
97001,2017,NA,NA,NA
97000,2017,NA,NA,NA
95001,2017,NA,NA,NA
95000,2017,NA,NA,NA
94000,2017,NA,NA,NA
94001,2017,NA,NA,NA
91000,2017,NA,NA,NA
91001,2017,NA,NA,NA
88000,2017,NA,NA,NA
86001,2017,NA,NA,NA
86000,2017,NA,NA,NA
85001,2017,NA,NA,NA
85000,2017,NA,NA,NA
81000,2017,NA,NA,NA
81001,2017,NA,NA,NA
76000,2017,21.1,5.6,0.47
76001,2017,15.5,3.5,0.46
73001,2017,18.4,2.6,0.43
73000,2017,29.1,7.5,0.49
70001,2017,29.2,4.3,0.44
70000,2017,41.6,9.9,0.46
68000,2017,18.9,3.7,0.45
68001,2017,12,1.4,0.41
66000,2017,16.3,2.2,0.43
66001,2017,12.7,0.8,0.4
63001,2017,NA,NA,NA
63000,2017,26.4,5.7,0.45
54000,2017,40,11.1,0.47
54001,2017,33.5,5.3,0.43
52001,2017,20.2,2.9,0.47
52000,2017,40.2,14,0.51
50001,2017,19.5,4.5,0.45
50000,2017,25.1,7.6,0.47
47001,2017,32.9,7.4,0.47
47000,2017,48.5,16.2,0.49
44000,2017,52.6,26.5,0.55
44001,2017,46.9,15.1,0.52
41001,2017,22.2,4.8,0.45
41000,2017,35.7,11.2,0.49
27000,2017,58.7,32.7,0.57
27001,2017,47.9,17.7,0.53
25000,2017,14.7,3,0.43
23000,2017,45.8,11.2,0.47
23001,2017,27.7,3.6,0.46
20001,2017,33.4,7.5,0.46
20000,2017,40.7,13,0.49
19001,2017,29.1,8.1,0.49
19000,2017,48.7,20.8,0.5
18000,2017,35.1,7.2,0.46
18001,2017,33.7,6.8,0.47
17000,2017,26.7,6.5,0.5
17001,2017,13.8,2.1,0.46
15000,2017,28.7,8.6,0.51
15001,2017,16.6,3,0.46
13001,2017,27,4.1,0.45
13000,2017,38.2,7.9,0.46
11001,2017,12.4,2.4,0.5
8001,2017,20,2.4,0.44
8000,2017,24.3,2.6,0.44
5000,2017,21.3,5.5,0.5
5001,2017,13.4,2.4,0.46
1001,2017,26.9,7.4,0.51
1001,2018,27,7.2,0.52
5001,2018,13.9,2.7,0.47
5000,2018,21.2,5.6,0.5
8000,2018,24.2,2.4,0.44
8001,2018,21.1,2.2,0.44
11001,2018,12.4,2.5,0.5
13000,2018,36.2,7,0.47
13001,2018,25.9,3.4,0.45
15001,2018,16.8,2.8,0.46
15000,2018,26.6,5.4,0.48
17001,2018,11.9,2.1,0.45
17000,2018,22.1,5.7,0.49
18001,2018,32.8,6.9,0.49
18000,2018,40.1,8.8,0.48
19000,2018,50.5,22.9,0.52
19001,2018,27.8,7.2,0.48
20000,2018,42.9,12.5,0.49
20001,2018,34.4,7.1,0.45
23001,2018,27.5,3.9,0.45
23000,2018,44.2,11.1,0.48
25000,2018,16.4,4.3,0.42
27001,2018,48.3,16.9,0.53
27000,2018,61.1,34.5,0.58
41000,2018,37,9.2,0.51
41001,2018,20.9,3.8,0.47
44001,2018,47.5,16,0.53
44000,2018,53.7,26.7,0.55
47000,2018,46.6,14.7,0.49
47001,2018,33.7,6.2,0.46
50000,2018,25.4,7.3,0.49
50001,2018,18.1,3.9,0.48
52000,2018,41.4,12.7,0.51
52001,2018,25.4,4.2,0.48
54001,2018,36.2,7,0.44
54000,2018,41.7,10.2,0.47
63000,2018,24.1,4.4,0.45
63001,2018,22.5,4.4,0.46
66001,2018,14.6,1.7,0.42
66000,2018,17.7,3.1,0.44
68001,2018,14.5,1.6,0.43
68000,2018,20.1,3.9,0.49
70000,2018,41,7.5,0.46
70001,2018,28.6,2.9,0.46
73000,2018,31,9.2,0.48
73001,2018,18.1,3,0.44
76001,2018,15.7,3.4,0.46
76000,2018,20.4,5.1,0.47
76001,2019,NA,NA,NA
76000,2019,NA,NA,0.47
73001,2019,NA,NA,NA
73000,2019,NA,NA,0.48
81000,2019,NA,NA,NA
81001,2019,NA,NA,NA
85000,2019,NA,NA,NA
85001,2019,NA,NA,NA
86000,2019,NA,NA,NA
86001,2019,NA,NA,NA
70001,2019,NA,NA,NA
70000,2019,NA,NA,0.48
68001,2019,NA,NA,NA
68000,2019,NA,NA,0.48
66001,2019,NA,NA,NA
66000,2019,NA,NA,0.44
63001,2019,NA,NA,NA
63000,2019,NA,NA,0.47
54001,2019,NA,NA,NA
54000,2019,NA,NA,0.49
52001,2019,NA,NA,NA
52000,2019,NA,NA,0.52
50001,2019,NA,NA,NA
50000,2019,NA,NA,0.49
47001,2019,NA,NA,NA
47000,2019,NA,NA,0.5
44001,2019,NA,NA,NA
44000,2019,NA,NA,0.58
41001,2019,NA,NA,NA
41000,2019,NA,NA,0.51
27001,2019,NA,NA,NA
27000,2019,NA,NA,0.6
23001,2019,NA,NA,NA
23000,2019,NA,NA,0.48
25000,2019,NA,NA,0.44
20001,2019,NA,NA,NA
20000,2019,NA,NA,0.51
19001,2019,NA,NA,NA
19000,2019,NA,NA,0.54
18001,2019,NA,NA,NA
18000,2019,NA,NA,0.48
17001,2019,NA,NA,NA
17000,2019,NA,NA,0.47
15001,2019,NA,NA,NA
15000,2019,NA,NA,0.5
13001,2019,NA,NA,NA
13000,2019,NA,NA,0.48
8001,2019,NA,NA,NA
8000,2019,NA,NA,0.45
11001,2019,NA,NA,NA
5001,2019,NA,NA,NA
5000,2019,NA,NA,0.51
1001,2019,NA,NA,0.53
88000,2019,NA,NA,NA
91000,2019,NA,NA,NA
91001,2019,NA,NA,NA
94000,2019,NA,NA,NA
94001,2019,NA,NA,NA
95000,2019,NA,NA,NA
95001,2019,NA,NA,NA
97000,2019,NA,NA,NA
97001,2019,NA,NA,NA
99000,2019,NA,NA,NA
99001,2019,NA,NA,NA
99001,2020,NA,NA,NA
99000,2020,NA,NA,NA
97001,2020,NA,NA,NA
97000,2020,NA,NA,NA
95001,2020,NA,NA,NA
95000,2020,NA,NA,NA
94001,2020,NA,NA,NA
94000,2020,NA,NA,NA
91001,2020,NA,NA,NA
91000,2020,NA,NA,NA
88000,2020,NA,NA,NA
1001,2020,NA,NA,0.55
5000,2020,NA,NA,0.53
5001,2020,NA,NA,NA
11001,2020,NA,NA,NA
8000,2020,NA,NA,0.48
8001,2020,NA,NA,NA
13000,2020,NA,NA,0.49
13001,2020,NA,NA,NA
15000,2020,NA,NA,0.52
15001,2020,NA,NA,NA
17000,2020,NA,NA,0.47
17001,2020,NA,NA,NA
18000,2020,NA,NA,0.47
18001,2020,NA,NA,NA
19000,2020,NA,NA,0.52
19001,2020,NA,NA,NA
20000,2020,NA,NA,0.52
20001,2020,NA,NA,NA
25000,2020,NA,NA,0.49
23000,2020,NA,NA,0.47
23001,2020,NA,NA,NA
27000,2020,NA,NA,0.56
27001,2020,NA,NA,NA
41000,2020,NA,NA,0.54
41001,2020,NA,NA,NA
44000,2020,NA,NA,0.56
44001,2020,NA,NA,NA
47000,2020,NA,NA,0.51
47001,2020,NA,NA,NA
50000,2020,NA,NA,0.49
50001,2020,NA,NA,NA
52000,2020,NA,NA,0.51
52001,2020,NA,NA,NA
54000,2020,NA,NA,0.52
54001,2020,NA,NA,NA
63000,2020,NA,NA,0.48
63001,2020,NA,NA,NA
66000,2020,NA,NA,0.46
66001,2020,NA,NA,NA
68000,2020,NA,NA,0.51
68001,2020,NA,NA,NA
70000,2020,NA,NA,0.46
70001,2020,NA,NA,NA
86001,2020,NA,NA,NA
86000,2020,NA,NA,NA
85001,2020,NA,NA,NA
85000,2020,NA,NA,NA
81001,2020,NA,NA,NA
81000,2020,NA,NA,NA
73000,2020,NA,NA,0.49
73001,2020,NA,NA,NA
76000,2020,NA,NA,0.51
76001,2020,NA,NA,NA
76001,2021,NA,NA,0.49
76000,2021,NA,NA,0.48
73001,2021,NA,NA,0.44
73000,2021,NA,NA,0.5
81000,2021,NA,NA,NA
81001,2021,NA,NA,NA
85000,2021,NA,NA,NA
85001,2021,NA,NA,NA
86000,2021,NA,NA,NA
86001,2021,NA,NA,NA
70001,2021,NA,NA,NA
70000,2021,NA,NA,0.47
68001,2021,NA,NA,0.48
68000,2021,NA,NA,0.52
66001,2021,NA,NA,0.43
66000,2021,NA,NA,0.42
63001,2021,NA,NA,NA
63000,2021,NA,NA,0.45
54001,2021,NA,NA,0.46
54000,2021,NA,NA,0.47
52001,2021,NA,NA,0.49
52000,2021,NA,NA,0.5
50001,2021,NA,NA,0.45
50000,2021,NA,NA,0.46
47001,2021,NA,NA,NA
47000,2021,NA,NA,0.49
44001,2021,NA,NA,NA
44000,2021,NA,NA,0.55
41001,2021,NA,NA,NA
41000,2021,NA,NA,0.47
27001,2021,NA,NA,NA
27000,2021,NA,NA,0.54
23001,2021,NA,NA,0.47
23000,2021,NA,NA,0.48
25000,2021,NA,NA,0.46
20001,2021,NA,NA,NA
20000,2021,NA,NA,0.49
19001,2021,NA,NA,NA
19000,2021,NA,NA,0.51
18001,2021,NA,NA,NA
18000,2021,NA,NA,0.45
17001,2021,NA,NA,0.48
17000,2021,NA,NA,0.47
15001,2021,NA,NA,NA
15000,2021,NA,NA,0.49
13001,2021,NA,NA,0.46
13000,2021,NA,NA,0.48
8001,2021,NA,NA,0.47
8000,2021,NA,NA,0.46
5001,2021,NA,NA,0.5
5000,2021,NA,NA,0.51
1001,2021,NA,NA,0.52
88000,2021,NA,NA,NA
91000,2021,NA,NA,NA
91001,2021,NA,NA,NA
94000,2021,NA,NA,NA
94001,2021,NA,NA,NA
95000,2021,NA,NA,NA
95001,2021,NA,NA,NA
97000,2021,NA,NA,NA
97001,2021,NA,NA,NA
99000,2021,NA,NA,NA
99001,2021,NA,NA,NA
97161,2005,NA,NA,NA
97666,2005,NA,NA,NA
99524,2005,NA,NA,NA
99624,2005,NA,NA,NA
99773,2005,NA,NA,NA
94343,2005,NA,NA,NA
95015,2005,NA,NA,NA
95200,2005,NA,NA,NA
95025,2005,NA,NA,NA
91540,2005,NA,NA,NA
88564,2005,NA,NA,NA
86219,2005,NA,NA,NA
86320,2005,NA,NA,NA
86568,2005,NA,NA,NA
86569,2005,NA,NA,NA
86571,2005,NA,NA,NA
86573,2005,NA,NA,NA
86749,2005,NA,NA,NA
86755,2005,NA,NA,NA
86757,2005,NA,NA,NA
86760,2005,NA,NA,NA
86885,2005,NA,NA,NA
86865,2005,NA,NA,NA
5002,2005,NA,NA,NA
5004,2005,NA,NA,NA
5021,2005,NA,NA,NA
5030,2005,NA,NA,NA
5031,2005,NA,NA,NA
5034,2005,NA,NA,NA
5036,2005,NA,NA,NA
5038,2005,NA,NA,NA
5040,2005,NA,NA,NA
5042,2005,NA,NA,NA
5044,2005,NA,NA,NA
5045,2005,NA,NA,NA
5051,2005,NA,NA,NA
5055,2005,NA,NA,NA
5059,2005,NA,NA,NA
5079,2005,NA,NA,NA
5086,2005,NA,NA,NA
5088,2005,NA,NA,NA
5091,2005,NA,NA,NA
5093,2005,NA,NA,NA
5101,2005,NA,NA,NA
5107,2005,NA,NA,NA
5113,2005,NA,NA,NA
5120,2005,NA,NA,NA
5125,2005,NA,NA,NA
5129,2005,NA,NA,NA
5134,2005,NA,NA,NA
5138,2005,NA,NA,NA
5142,2005,NA,NA,NA
5145,2005,NA,NA,NA
5147,2005,NA,NA,NA
5148,2005,NA,NA,NA
5150,2005,NA,NA,NA
5154,2005,NA,NA,NA
5172,2005,NA,NA,NA
5190,2005,NA,NA,NA
5197,2005,NA,NA,NA
5206,2005,NA,NA,NA
5209,2005,NA,NA,NA
5212,2005,NA,NA,NA
5234,2005,NA,NA,NA
5237,2005,NA,NA,NA
5240,2005,NA,NA,NA
5250,2005,NA,NA,NA
5792,2005,NA,NA,NA
5809,2005,NA,NA,NA
5819,2005,NA,NA,NA
5837,2005,NA,NA,NA
5842,2005,NA,NA,NA
5847,2005,NA,NA,NA
5854,2005,NA,NA,NA
5856,2005,NA,NA,NA
5858,2005,NA,NA,NA
5861,2005,NA,NA,NA
5873,2005,NA,NA,NA
5885,2005,NA,NA,NA
5887,2005,NA,NA,NA
5890,2005,NA,NA,NA
5895,2005,NA,NA,NA
5893,2005,NA,NA,NA
5264,2005,NA,NA,NA
5266,2005,NA,NA,NA
5282,2005,NA,NA,NA
5284,2005,NA,NA,NA
5306,2005,NA,NA,NA
5308,2005,NA,NA,NA
5310,2005,NA,NA,NA
5313,2005,NA,NA,NA
5315,2005,NA,NA,NA
5318,2005,NA,NA,NA
5321,2005,NA,NA,NA
5347,2005,NA,NA,NA
5353,2005,NA,NA,NA
5360,2005,NA,NA,NA
5361,2005,NA,NA,NA
5364,2005,NA,NA,NA
5368,2005,NA,NA,NA
5376,2005,NA,NA,NA
5380,2005,NA,NA,NA
5390,2005,NA,NA,NA
5400,2005,NA,NA,NA
5411,2005,NA,NA,NA
5425,2005,NA,NA,NA
5440,2005,NA,NA,NA
5467,2005,NA,NA,NA
5475,2005,NA,NA,NA
5480,2005,NA,NA,NA
5483,2005,NA,NA,NA
5490,2005,NA,NA,NA
5495,2005,NA,NA,NA
5501,2005,NA,NA,NA
5541,2005,NA,NA,NA
5543,2005,NA,NA,NA
5576,2005,NA,NA,NA
5579,2005,NA,NA,NA
5585,2005,NA,NA,NA
5591,2005,NA,NA,NA
5604,2005,NA,NA,NA
5607,2005,NA,NA,NA
5615,2005,NA,NA,NA
5628,2005,NA,NA,NA
5631,2005,NA,NA,NA
5642,2005,NA,NA,NA
5647,2005,NA,NA,NA
5649,2005,NA,NA,NA
5652,2005,NA,NA,NA
5656,2005,NA,NA,NA
5658,2005,NA,NA,NA
5659,2005,NA,NA,NA
5660,2005,NA,NA,NA
5664,2005,NA,NA,NA
5665,2005,NA,NA,NA
5667,2005,NA,NA,NA
5670,2005,NA,NA,NA
5674,2005,NA,NA,NA
5679,2005,NA,NA,NA
5686,2005,NA,NA,NA
5690,2005,NA,NA,NA
5697,2005,NA,NA,NA
5736,2005,NA,NA,NA
5756,2005,NA,NA,NA
5761,2005,NA,NA,NA
5789,2005,NA,NA,NA
5790,2005,NA,NA,NA
8549,2005,NA,NA,NA
8558,2005,NA,NA,NA
8560,2005,NA,NA,NA
8573,2005,NA,NA,NA
8606,2005,NA,NA,NA
8634,2005,NA,NA,NA
8638,2005,NA,NA,NA
8675,2005,NA,NA,NA
8685,2005,NA,NA,NA
8758,2005,NA,NA,NA
8770,2005,NA,NA,NA
8832,2005,NA,NA,NA
8849,2005,NA,NA,NA
8078,2005,NA,NA,NA
8137,2005,NA,NA,NA
8141,2005,NA,NA,NA
8296,2005,NA,NA,NA
8372,2005,NA,NA,NA
8421,2005,NA,NA,NA
8433,2005,NA,NA,NA
8436,2005,NA,NA,NA
8520,2005,NA,NA,NA
13683,2005,NA,NA,NA
13688,2005,NA,NA,NA
13744,2005,NA,NA,NA
13760,2005,NA,NA,NA
13780,2005,NA,NA,NA
13810,2005,NA,NA,NA
13836,2005,NA,NA,NA
13838,2005,NA,NA,NA
13873,2005,NA,NA,NA
13894,2005,NA,NA,NA
13006,2005,NA,NA,NA
13030,2005,NA,NA,NA
13042,2005,NA,NA,NA
13052,2005,NA,NA,NA
13062,2005,NA,NA,NA
13074,2005,NA,NA,NA
13140,2005,NA,NA,NA
13160,2005,NA,NA,NA
13188,2005,NA,NA,NA
13212,2005,NA,NA,NA
13222,2005,NA,NA,NA
13244,2005,NA,NA,NA
13248,2005,NA,NA,NA
13268,2005,NA,NA,NA
13300,2005,NA,NA,NA
13430,2005,NA,NA,NA
13433,2005,NA,NA,NA
13440,2005,NA,NA,NA
13442,2005,NA,NA,NA
13458,2005,NA,NA,NA
13468,2005,NA,NA,NA
13473,2005,NA,NA,NA
13490,2005,NA,NA,NA
13549,2005,NA,NA,NA
13580,2005,NA,NA,NA
13600,2005,NA,NA,NA
13620,2005,NA,NA,NA
13647,2005,NA,NA,NA
13650,2005,NA,NA,NA
13654,2005,NA,NA,NA
13655,2005,NA,NA,NA
13657,2005,NA,NA,NA
13667,2005,NA,NA,NA
13670,2005,NA,NA,NA
13673,2005,NA,NA,NA
15022,2005,NA,NA,NA
15047,2005,NA,NA,NA
15051,2005,NA,NA,NA
15087,2005,NA,NA,NA
15090,2005,NA,NA,NA
15092,2005,NA,NA,NA
15097,2005,NA,NA,NA
15104,2005,NA,NA,NA
15106,2005,NA,NA,NA
15109,2005,NA,NA,NA
15114,2005,NA,NA,NA
15131,2005,NA,NA,NA
15135,2005,NA,NA,NA
15162,2005,NA,NA,NA
15172,2005,NA,NA,NA
15176,2005,NA,NA,NA
15180,2005,NA,NA,NA
15183,2005,NA,NA,NA
15185,2005,NA,NA,NA
15187,2005,NA,NA,NA
15189,2005,NA,NA,NA
15204,2005,NA,NA,NA
15212,2005,NA,NA,NA
15215,2005,NA,NA,NA
15218,2005,NA,NA,NA
15223,2005,NA,NA,NA
15224,2005,NA,NA,NA
15226,2005,NA,NA,NA
15232,2005,NA,NA,NA
15236,2005,NA,NA,NA
15238,2005,NA,NA,NA
15244,2005,NA,NA,NA
15248,2005,NA,NA,NA
15272,2005,NA,NA,NA
15276,2005,NA,NA,NA
15293,2005,NA,NA,NA
15296,2005,NA,NA,NA
15299,2005,NA,NA,NA
15317,2005,NA,NA,NA
15322,2005,NA,NA,NA
15325,2005,NA,NA,NA
15332,2005,NA,NA,NA
15362,2005,NA,NA,NA
15367,2005,NA,NA,NA
15368,2005,NA,NA,NA
15377,2005,NA,NA,NA
15380,2005,NA,NA,NA
15401,2005,NA,NA,NA
15403,2005,NA,NA,NA
15407,2005,NA,NA,NA
15425,2005,NA,NA,NA
15442,2005,NA,NA,NA
15455,2005,NA,NA,NA
15464,2005,NA,NA,NA
15466,2005,NA,NA,NA
15469,2005,NA,NA,NA
15476,2005,NA,NA,NA
15480,2005,NA,NA,NA
15491,2005,NA,NA,NA
15494,2005,NA,NA,NA
15500,2005,NA,NA,NA
15507,2005,NA,NA,NA
15511,2005,NA,NA,NA
15514,2005,NA,NA,NA
15516,2005,NA,NA,NA
15518,2005,NA,NA,NA
15522,2005,NA,NA,NA
15531,2005,NA,NA,NA
15533,2005,NA,NA,NA
15537,2005,NA,NA,NA
15542,2005,NA,NA,NA
15550,2005,NA,NA,NA
15572,2005,NA,NA,NA
15580,2005,NA,NA,NA
15599,2005,NA,NA,NA
15600,2005,NA,NA,NA
15621,2005,NA,NA,NA
15632,2005,NA,NA,NA
15638,2005,NA,NA,NA
15646,2005,NA,NA,NA
15660,2005,NA,NA,NA
15664,2005,NA,NA,NA
15667,2005,NA,NA,NA
15673,2005,NA,NA,NA
15676,2005,NA,NA,NA
15681,2005,NA,NA,NA
15686,2005,NA,NA,NA
15690,2005,NA,NA,NA
15693,2005,NA,NA,NA
15696,2005,NA,NA,NA
15720,2005,NA,NA,NA
15723,2005,NA,NA,NA
15740,2005,NA,NA,NA
15753,2005,NA,NA,NA
15755,2005,NA,NA,NA
15757,2005,NA,NA,NA
15759,2005,NA,NA,NA
15761,2005,NA,NA,NA
15762,2005,NA,NA,NA
15763,2005,NA,NA,NA
15764,2005,NA,NA,NA
15774,2005,NA,NA,NA
15776,2005,NA,NA,NA
15778,2005,NA,NA,NA
15790,2005,NA,NA,NA
15798,2005,NA,NA,NA
15804,2005,NA,NA,NA
15806,2005,NA,NA,NA
15808,2005,NA,NA,NA
15810,2005,NA,NA,NA
15814,2005,NA,NA,NA
15816,2005,NA,NA,NA
15820,2005,NA,NA,NA
15822,2005,NA,NA,NA
15832,2005,NA,NA,NA
15835,2005,NA,NA,NA
15837,2005,NA,NA,NA
15839,2005,NA,NA,NA
15842,2005,NA,NA,NA
15861,2005,NA,NA,NA
15879,2005,NA,NA,NA
15897,2005,NA,NA,NA
17513,2005,NA,NA,NA
17524,2005,NA,NA,NA
17541,2005,NA,NA,NA
17614,2005,NA,NA,NA
17616,2005,NA,NA,NA
17653,2005,NA,NA,NA
17662,2005,NA,NA,NA
17665,2005,NA,NA,NA
17013,2005,NA,NA,NA
17042,2005,NA,NA,NA
17050,2005,NA,NA,NA
17088,2005,NA,NA,NA
17174,2005,NA,NA,NA
17272,2005,NA,NA,NA
17380,2005,NA,NA,NA
17388,2005,NA,NA,NA
17433,2005,NA,NA,NA
17442,2005,NA,NA,NA
17444,2005,NA,NA,NA
17446,2005,NA,NA,NA
17486,2005,NA,NA,NA
17495,2005,NA,NA,NA
17777,2005,NA,NA,NA
17867,2005,NA,NA,NA
17873,2005,NA,NA,NA
17877,2005,NA,NA,NA
18029,2005,NA,NA,NA
18094,2005,NA,NA,NA
18150,2005,NA,NA,NA
18205,2005,NA,NA,NA
18247,2005,NA,NA,NA
18256,2005,NA,NA,NA
18410,2005,NA,NA,NA
18460,2005,NA,NA,NA
18479,2005,NA,NA,NA
18592,2005,NA,NA,NA
18610,2005,NA,NA,NA
18753,2005,NA,NA,NA
18756,2005,NA,NA,NA
18860,2005,NA,NA,NA
18785,2005,NA,NA,NA
19455,2005,NA,NA,NA
19473,2005,NA,NA,NA
19513,2005,NA,NA,NA
19517,2005,NA,NA,NA
19532,2005,NA,NA,NA
19533,2005,NA,NA,NA
19548,2005,NA,NA,NA
19573,2005,NA,NA,NA
19585,2005,NA,NA,NA
19622,2005,NA,NA,NA
19693,2005,NA,NA,NA
19698,2005,NA,NA,NA
19701,2005,NA,NA,NA
19743,2005,NA,NA,NA
19760,2005,NA,NA,NA
19780,2005,NA,NA,NA
19785,2005,NA,NA,NA
19807,2005,NA,NA,NA
19809,2005,NA,NA,NA
19821,2005,NA,NA,NA
19824,2005,NA,NA,NA
19845,2005,NA,NA,NA
19022,2005,NA,NA,NA
19050,2005,NA,NA,NA
19075,2005,NA,NA,NA
19100,2005,NA,NA,NA
19110,2005,NA,NA,NA
19130,2005,NA,NA,NA
19137,2005,NA,NA,NA
19142,2005,NA,NA,NA
19212,2005,NA,NA,NA
19256,2005,NA,NA,NA
19290,2005,NA,NA,NA
19300,2005,NA,NA,NA
19318,2005,NA,NA,NA
19355,2005,NA,NA,NA
19364,2005,NA,NA,NA
19392,2005,NA,NA,NA
19397,2005,NA,NA,NA
19418,2005,NA,NA,NA
19450,2005,NA,NA,NA
20011,2005,NA,NA,NA
20013,2005,NA,NA,NA
20032,2005,NA,NA,NA
20045,2005,NA,NA,NA
20060,2005,NA,NA,NA
20175,2005,NA,NA,NA
20178,2005,NA,NA,NA
20228,2005,NA,NA,NA
20238,2005,NA,NA,NA
20250,2005,NA,NA,NA
20295,2005,NA,NA,NA
20310,2005,NA,NA,NA
20383,2005,NA,NA,NA
20400,2005,NA,NA,NA
20443,2005,NA,NA,NA
20517,2005,NA,NA,NA
20550,2005,NA,NA,NA
20570,2005,NA,NA,NA
20614,2005,NA,NA,NA
20621,2005,NA,NA,NA
20710,2005,NA,NA,NA
20750,2005,NA,NA,NA
20770,2005,NA,NA,NA
20787,2005,NA,NA,NA
25001,2005,NA,NA,NA
25019,2005,NA,NA,NA
25035,2005,NA,NA,NA
25040,2005,NA,NA,NA
25053,2005,NA,NA,NA
25086,2005,NA,NA,NA
25095,2005,NA,NA,NA
25099,2005,NA,NA,NA
25120,2005,NA,NA,NA
25123,2005,NA,NA,NA
25126,2005,NA,NA,NA
25148,2005,NA,NA,NA
25151,2005,NA,NA,NA
25154,2005,NA,NA,NA
25168,2005,NA,NA,NA
25175,2005,NA,NA,NA
25178,2005,NA,NA,NA
25181,2005,NA,NA,NA
25183,2005,NA,NA,NA
25200,2005,NA,NA,NA
25214,2005,NA,NA,NA
25224,2005,NA,NA,NA
25245,2005,NA,NA,NA
25258,2005,NA,NA,NA
25260,2005,NA,NA,NA
25772,2005,NA,NA,NA
25777,2005,NA,NA,NA
25779,2005,NA,NA,NA
25781,2005,NA,NA,NA
25785,2005,NA,NA,NA
25793,2005,NA,NA,NA
25797,2005,NA,NA,NA
25799,2005,NA,NA,NA
25805,2005,NA,NA,NA
25807,2005,NA,NA,NA
25815,2005,NA,NA,NA
25817,2005,NA,NA,NA
25823,2005,NA,NA,NA
25839,2005,NA,NA,NA
25841,2005,NA,NA,NA
25843,2005,NA,NA,NA
25845,2005,NA,NA,NA
25851,2005,NA,NA,NA
25862,2005,NA,NA,NA
25867,2005,NA,NA,NA
25871,2005,NA,NA,NA
25873,2005,NA,NA,NA
25875,2005,NA,NA,NA
25878,2005,NA,NA,NA
25885,2005,NA,NA,NA
25898,2005,NA,NA,NA
25899,2005,NA,NA,NA
25269,2005,NA,NA,NA
25279,2005,NA,NA,NA
25281,2005,NA,NA,NA
25286,2005,NA,NA,NA
25288,2005,NA,NA,NA
25290,2005,NA,NA,NA
25293,2005,NA,NA,NA
25295,2005,NA,NA,NA
25297,2005,NA,NA,NA
25299,2005,NA,NA,NA
25307,2005,NA,NA,NA
25312,2005,NA,NA,NA
25317,2005,NA,NA,NA
25320,2005,NA,NA,NA
25322,2005,NA,NA,NA
25324,2005,NA,NA,NA
25326,2005,NA,NA,NA
25328,2005,NA,NA,NA
25335,2005,NA,NA,NA
25339,2005,NA,NA,NA
25368,2005,NA,NA,NA
25372,2005,NA,NA,NA
25377,2005,NA,NA,NA
25386,2005,NA,NA,NA
25394,2005,NA,NA,NA
25398,2005,NA,NA,NA
25402,2005,NA,NA,NA
25407,2005,NA,NA,NA
25426,2005,NA,NA,NA
25430,2005,NA,NA,NA
25436,2005,NA,NA,NA
25438,2005,NA,NA,NA
25473,2005,NA,NA,NA
25483,2005,NA,NA,NA
25486,2005,NA,NA,NA
25488,2005,NA,NA,NA
25489,2005,NA,NA,NA
25491,2005,NA,NA,NA
25506,2005,NA,NA,NA
25513,2005,NA,NA,NA
25518,2005,NA,NA,NA
25524,2005,NA,NA,NA
25530,2005,NA,NA,NA
25535,2005,NA,NA,NA
25572,2005,NA,NA,NA
25580,2005,NA,NA,NA
25592,2005,NA,NA,NA
25594,2005,NA,NA,NA
25596,2005,NA,NA,NA
25599,2005,NA,NA,NA
25612,2005,NA,NA,NA
25645,2005,NA,NA,NA
25649,2005,NA,NA,NA
25653,2005,NA,NA,NA
25658,2005,NA,NA,NA
25662,2005,NA,NA,NA
25718,2005,NA,NA,NA
25736,2005,NA,NA,NA
25740,2005,NA,NA,NA
25743,2005,NA,NA,NA
25745,2005,NA,NA,NA
25754,2005,NA,NA,NA
25758,2005,NA,NA,NA
25769,2005,NA,NA,NA
23350,2005,NA,NA,NA
23417,2005,NA,NA,NA
23419,2005,NA,NA,NA
23464,2005,NA,NA,NA
23466,2005,NA,NA,NA
23500,2005,NA,NA,NA
23555,2005,NA,NA,NA
23570,2005,NA,NA,NA
23574,2005,NA,NA,NA
23580,2005,NA,NA,NA
23586,2005,NA,NA,NA
23660,2005,NA,NA,NA
23670,2005,NA,NA,NA
23672,2005,NA,NA,NA
23675,2005,NA,NA,NA
23678,2005,NA,NA,NA
23682,2005,NA,NA,NA
23686,2005,NA,NA,NA
23807,2005,NA,NA,NA
23815,2005,NA,NA,NA
23855,2005,NA,NA,NA
23068,2005,NA,NA,NA
23079,2005,NA,NA,NA
23090,2005,NA,NA,NA
23162,2005,NA,NA,NA
23168,2005,NA,NA,NA
23182,2005,NA,NA,NA
23189,2005,NA,NA,NA
23300,2005,NA,NA,NA
27425,2005,NA,NA,NA
27430,2005,NA,NA,NA
27450,2005,NA,NA,NA
27491,2005,NA,NA,NA
27495,2005,NA,NA,NA
27580,2005,NA,NA,NA
27600,2005,NA,NA,NA
27615,2005,NA,NA,NA
27660,2005,NA,NA,NA
27745,2005,NA,NA,NA
27787,2005,NA,NA,NA
27800,2005,NA,NA,NA
27810,2005,NA,NA,NA
27006,2005,NA,NA,NA
27025,2005,NA,NA,NA
27050,2005,NA,NA,NA
27073,2005,NA,NA,NA
27075,2005,NA,NA,NA
27077,2005,NA,NA,NA
