"codmpio","ano","monetary_poverty_rate","extreme_monetary_poverty_rate","gini_coefficient"
99001,2004,NA,NA,NA
99000,2004,NA,NA,NA
99000,2005,NA,NA,NA
99001,2005,NA,NA,NA
97001,2005,NA,NA,NA
97000,2005,NA,NA,NA
95001,2005,NA,NA,NA
95000,2005,NA,NA,NA
94000,2005,NA,NA,NA
94001,2005,NA,NA,NA
91000,2005,NA,NA,NA
91001,2005,NA,NA,NA
88000,2005,NA,NA,NA
86001,2005,NA,NA,NA
86000,2005,NA,NA,NA
85001,2005,NA,NA,NA
85000,2005,NA,NA,NA
81000,2005,NA,NA,NA
81001,2005,NA,NA,NA
76000,2005,36.6,8.4,0.54
76001,2005,30.1,5,0.54
73001,2005,39.4,8.5,0.49
73000,2005,50.7,15.9,0.49
70001,2005,NA,NA,NA
70000,2005,63.8,23,0.48
68000,2005,41.4,11.9,0.53
68001,2005,31,4.8,0.48
66000,2005,35.5,8.4,0.5
66001,2005,28.7,3.7,0.47
63001,2005,NA,NA,NA
63000,2005,45.6,10.4,0.52
54000,2005,59.4,19.4,0.49
54001,2005,55.2,11.2,0.46
52001,2005,45.6,11.6,0.51
52000,2005,58.7,23.8,0.51
50001,2005,34.8,6.2,0.47
50000,2005,38.3,11,0.49
47001,2005,NA,NA,NA
47000,2005,57.5,14.7,0.47
44000,2005,57.8,22.2,0.47
44001,2005,NA,NA,NA
41001,2005,NA,NA,NA
41000,2005,56.1,21,0.51
27000,2005,74.7,44.2,0.58
27001,2005,NA,NA,NA
25000,2005,44.6,15.1,0.49
23000,2005,63.7,28.1,0.54
23001,2005,46.7,9.2,0.51
20001,2005,NA,NA,NA
20000,2005,56.2,14.9,0.45
19001,2005,NA,NA,NA
19000,2005,56.1,27.4,0.5
18000,2005,53.7,20.7,0.53
18001,2005,NA,NA,NA
17000,2005,43.8,12.1,0.51
17001,2005,36.4,7.5,0.49
15000,2005,58.3,27.4,0.56
15001,2005,NA,NA,NA
13001,2005,37.6,4.6,0.45
13000,2005,51.9,12.3,0.48
11001,2005,26.6,4.7,0.56
8001,2005,44.1,7.8,0.51
8000,2005,48.8,9.7,0.51
5000,2005,41.8,13.9,0.56
5001,2005,29.3,5,0.52
1001,2005,45,13.8,0.56
1001,2008,42,16.4,0.57
5001,2008,25,6.2,0.54
5000,2008,38.3,15.4,0.58
8000,2008,48,12.5,0.5
8001,2008,43.3,10,0.5
11001,2008,19.6,3.4,0.53
13000,2008,58.3,25.6,0.54
13001,2008,40.2,6.9,0.47
15001,2008,NA,NA,NA
15000,2008,58,31.4,0.58
17001,2008,31.2,6.8,0.5
17000,2008,42.8,13.7,0.55
18001,2008,NA,NA,NA
18000,2008,47.7,17.1,0.49
19000,2008,66.4,42.5,0.6
19001,2008,NA,NA,NA
20000,2008,63.2,30.2,0.55
20001,2008,NA,NA,NA
23001,2008,40.6,6.6,0.49
23000,2008,62,23.9,0.52
25000,2008,30.8,10,0.46
27001,2008,NA,NA,NA
27000,2008,73.1,45.9,0.62
41000,2008,58.5,30.2,0.58
41001,2008,NA,NA,NA
44001,2008,NA,NA,NA
44000,2008,69.9,43.9,0.59
47000,2008,64.5,31.6,0.56
47001,2008,NA,NA,NA
50000,2008,32.2,10.7,0.5
50001,2008,26.8,5.2,0.48
52000,2008,56.1,20.7,0.52
52001,2008,39.7,10.2,0.53
54001,2008,42.2,7.9,0.46
54000,2008,50.7,17.4,0.5
63000,2008,43.3,15.1,0.56
63001,2008,NA,NA,NA
66001,2008,27.6,4.8,0.48
66000,2008,35.1,10.4,0.51
68001,2008,19.2,2.6,0.43
68000,2008,30.6,9.3,0.49
70000,2008,66.6,33.1,0.54
70001,2008,NA,NA,NA
73000,2008,46.4,17.4,0.52
73001,2008,32.6,7.3,0.47
76001,2008,28.5,7.4,0.52
76000,2008,33.4,10.4,0.52
81001,2008,NA,NA,NA
81000,2008,NA,NA,NA
85000,2008,NA,NA,NA
85001,2008,NA,NA,NA
86000,2008,NA,NA,NA
86001,2008,NA,NA,NA
88000,2008,NA,NA,NA
91001,2008,NA,NA,NA
91000,2008,NA,NA,NA
94001,2008,NA,NA,NA
94000,2008,NA,NA,NA
95000,2008,NA,NA,NA
95001,2008,NA,NA,NA
97000,2008,NA,NA,NA
97001,2008,NA,NA,NA
99001,2008,NA,NA,NA
99000,2008,NA,NA,NA
99000,2009,NA,NA,NA
99001,2009,NA,NA,NA
97001,2009,NA,NA,NA
97000,2009,NA,NA,NA
95001,2009,NA,NA,NA
95000,2009,NA,NA,NA
94000,2009,NA,NA,NA
94001,2009,NA,NA,NA
91000,2009,NA,NA,NA
91001,2009,NA,NA,NA
88000,2009,NA,NA,NA
86001,2009,NA,NA,NA
86000,2009,NA,NA,NA
85001,2009,NA,NA,NA
85000,2009,NA,NA,NA
81000,2009,NA,NA,NA
81001,2009,NA,NA,NA
76000,2009,33.3,9.7,0.52
76001,2009,28.4,7.4,0.5
73001,2009,28.7,5.1,0.49
73000,2009,48.4,17.9,0.54
70001,2009,NA,NA,NA
70000,2009,66.2,29,0.52
68000,2009,27.2,8,0.51
68001,2009,13.9,1.7,0.45
66000,2009,32.3,7.6,0.48
66001,2009,28.5,4.7,0.47
63001,2009,NA,NA,NA
63000,2009,49.9,17.2,0.55
54000,2009,47.5,14,0.52
54001,2009,38.2,6.9,0.5
52001,2009,42.8,10.8,0.52
52000,2009,55.1,21.2,0.51
50001,2009,27.7,5.4,0.47
50000,2009,36,10.8,0.49
47001,2009,NA,NA,NA
47000,2009,58.3,24.1,0.53
44000,2009,66.7,35.4,0.57
44001,2009,NA,NA,NA
41001,2009,NA,NA,NA
41000,2009,57.5,29.2,0.58
27000,2009,68.3,40.5,0.57
27001,2009,NA,NA,NA
25000,2009,26.2,8.2,0.46
23000,2009,61.8,25,0.56
23001,2009,38.6,5.9,0.53
20001,2009,NA,NA,NA
20000,2009,58.6,23.7,0.55
19001,2009,NA,NA,NA
19000,2009,66.1,39,0.59
18000,2009,51.6,16.3,0.49
18001,2009,NA,NA,NA
17000,2009,41.7,12.2,0.54
17001,2009,27.2,6.7,0.51
15000,2009,48,20,0.54
15001,2009,NA,NA,NA
13001,2009,38.5,6.9,0.49
13000,2009,57.1,22.3,0.53
11001,2009,18.3,3.2,0.53
8001,2009,42.4,8.3,0.49
8000,2009,47.9,12.2,0.5
5000,2009,35.1,12.8,0.56
5001,2009,23.9,6.2,0.54
1001,2009,40.3,14.4,0.56
1001,2010,37.2,12.3,0.56
5001,2010,22,5.6,0.54
5000,2010,31.3,10.5,0.56
8000,2010,43.9,9.4,0.5
8001,2010,39.5,7.4,0.5
11001,2010,15.5,2.6,0.53
13000,2010,49.4,14.9,0.51
13001,2010,34.2,6.2,0.49
15001,2010,22.1,3.4,0.47
15000,2010,47.1,19.2,0.54
17001,2010,23.8,4.7,0.5
17000,2010,39.6,11.2,0.54
18001,2010,43.6,8,0.48
18000,2010,44.3,9.9,0.45
19000,2010,64.7,35.9,0.57
19001,2010,39.2,8.7,0.51
20000,2010,53.6,18.6,0.52
20001,2010,42.7,9.3,0.51
23001,2010,39.7,6.7,0.53
23000,2010,63.6,25.6,0.55
25000,2010,25.4,8,0.46
27001,2010,53,15,0.53
27000,2010,64.9,33.5,0.57
41000,2010,53.3,25.9,0.57
41001,2010,27,5.6,0.49
44001,2010,46.9,14.2,0.52
44000,2010,64.6,37.6,0.61
47000,2010,58,23.5,0.54
47001,2010,40.2,8.5,0.49
50000,2010,32.4,9.7,0.5
50001,2010,25.4,4.8,0.47
52000,2010,56.4,18.6,0.5
52001,2010,43.2,11.7,0.52
54001,2010,39.3,8.4,0.48
54000,2010,43.1,11,0.49
63000,2010,43.4,12.5,0.54
63001,2010,NA,NA,NA
66001,2010,26.8,3.8,0.46
66000,2010,33.3,7.7,0.48
68001,2010,10.9,1.2,0.45
68000,2010,21.6,4.8,0.51
70000,2010,63.7,28.6,0.54
70001,2010,44.2,6.4,0.47
73000,2010,45.1,17.4,0.55
73001,2010,26.6,4.3,0.5
76001,2010,26.1,6.4,0.53
76000,2010,30.7,8.5,0.52
81001,2010,NA,NA,NA
81000,2010,NA,NA,NA
85000,2010,NA,NA,NA
85001,2010,NA,NA,NA
86000,2010,NA,NA,NA
86001,2010,NA,NA,NA
88000,2010,NA,NA,NA
91001,2010,NA,NA,NA
91000,2010,NA,NA,NA
94001,2010,NA,NA,NA
94000,2010,NA,NA,NA
95000,2010,NA,NA,NA
95001,2010,NA,NA,NA
97000,2010,NA,NA,NA
97001,2010,NA,NA,NA
99001,2010,NA,NA,NA
99000,2010,NA,NA,NA
99000,2011,NA,NA,NA
99001,2011,NA,NA,NA
97001,2011,NA,NA,NA
97000,2011,NA,NA,NA
95001,2011,NA,NA,NA
95000,2011,NA,NA,NA
94000,2011,NA,NA,NA
94001,2011,NA,NA,NA
91000,2011,NA,NA,NA
91001,2011,NA,NA,NA
88000,2011,NA,NA,NA
86001,2011,NA,NA,NA
86000,2011,NA,NA,NA
85001,2011,NA,NA,NA
85000,2011,NA,NA,NA
81000,2011,NA,NA,NA
81001,2011,NA,NA,NA
76000,2011,30,8.4,0.51
76001,2011,25.1,5.2,0.5
73001,2011,22,2.7,0.45
73000,2011,43.1,15.2,0.53
70001,2011,36.9,3.5,0.47
70000,2011,53,16.2,0.51
68000,2011,21.8,5.8,0.5
68001,2011,10.7,1.1,0.45
66000,2011,27,5.3,0.48
66001,2011,21.6,2.2,0.45
63001,2011,NA,NA,NA
63000,2011,40.2,11.7,0.53
54000,2011,40.6,9.9,0.5
54001,2011,33.9,5.7,0.47
52001,2011,40.6,8.8,0.52
52000,2011,50.6,16.3,0.5
50001,2011,23,4,0.47
50000,2011,30,8.4,0.49
47001,2011,38.3,7.9,0.48
47000,2011,57.5,23.5,0.53
44000,2011,57.4,28.1,0.57
44001,2011,42.7,9.3,0.5
41001,2011,24.9,3.9,0.49
41000,2011,48.2,17.3,0.56
27000,2011,64,34.3,0.57
27001,2011,46.7,12.7,0.51
25000,2011,21.3,6.9,0.46
23000,2011,61.5,27,0.56
23001,2011,37.5,6.5,0.53
20001,2011,36,5.6,0.48
20000,2011,47.2,17.2,0.51
19001,2011,36.9,7.9,0.49
19000,2011,62,34.3,0.55
18000,2011,40.8,9.6,0.46
18001,2011,41.5,7.6,0.48
17000,2011,36.6,9.9,0.53
17001,2011,19.2,2.3,0.47
15000,2011,39.9,13.4,0.54
15001,2011,18.3,1.9,0.46
13001,2011,33.4,4.7,0.49
13000,2011,43.7,12,0.5
11001,2011,13.1,2,0.52
8001,2011,34.7,5.3,0.47
8000,2011,37.8,5.3,0.47
5000,2011,29.3,8.7,0.54
5001,2011,19.2,4,0.51
1001,2011,34.1,10.6,0.55
1001,2012,32.7,10.4,0.54
5001,2012,17.7,3.5,0.5
5000,2012,26.8,8.1,0.53
8000,2012,33.9,4.7,0.46
8001,2012,30.4,3.8,0.46
11001,2012,11.6,2,0.5
13000,2012,44.2,13.2,0.51
13001,2012,32.7,5.9,0.48
15001,2012,18.4,2.3,0.47
15000,2012,35.6,11,0.53
17001,2012,17.6,2.4,0.46
17000,2012,35.4,10.4,0.52
18001,2012,38.5,8.4,0.51
18000,2012,42.1,10.2,0.48
19000,2012,62.1,34,0.57
19001,2012,36.1,9.2,0.5
20000,2012,46.8,16,0.52
20001,2012,32.8,6.2,0.48
23001,2012,36.9,6.3,0.5
23000,2012,60.2,27.3,0.54
25000,2012,23.3,6.3,0.46
27001,2012,51.2,14.9,0.55
27000,2012,68,40.7,0.62
41000,2012,45.4,16.6,0.56
41001,2012,22.8,4.3,0.5
44001,2012,45.5,14.4,0.53
44000,2012,58.4,27.7,0.56
47000,2012,52.3,17.4,0.51
47001,2012,36.3,7.6,0.49
50000,2012,29.5,9.2,0.51
50001,2012,21.6,3.9,0.47
52000,2012,50.8,17.2,0.5
52001,2012,36.8,8,0.5
54001,2012,32.4,5.1,0.45
54000,2012,40.4,10.7,0.49
63000,2012,38.9,12.1,0.53
63001,2012,NA,NA,NA
66001,2012,21.9,3,0.46
66000,2012,28.4,6.4,0.49
68001,2012,10.4,1.2,0.43
68000,2012,20.8,4.6,0.49
70000,2012,51.5,12.7,0.48
70001,2012,36.9,5.6,0.47
73000,2012,42.3,15.3,0.52
73001,2012,21.3,2.8,0.45
76001,2012,23.1,5.3,0.52
76000,2012,26.9,7.4,0.52
81001,2012,NA,NA,NA
81000,2012,NA,NA,NA
85000,2012,NA,NA,NA
85001,2012,NA,NA,NA
86000,2012,NA,NA,NA
86001,2012,NA,NA,NA
88000,2012,NA,NA,NA
91001,2012,NA,NA,NA
91000,2012,NA,NA,NA
94001,2012,NA,NA,NA
94000,2012,NA,NA,NA
95000,2012,NA,NA,NA
95001,2012,NA,NA,NA
97000,2012,NA,NA,NA
97001,2012,NA,NA,NA
99001,2012,NA,NA,NA
99000,2012,NA,NA,NA
99000,2013,NA,NA,NA
99001,2013,NA,NA,NA
97001,2013,NA,NA,NA
97000,2013,NA,NA,NA
95001,2013,NA,NA,NA
95000,2013,NA,NA,NA
94000,2013,NA,NA,NA
94001,2013,NA,NA,NA
91000,2013,NA,NA,NA
91001,2013,NA,NA,NA
88000,2013,NA,NA,NA
86001,2013,NA,NA,NA
86000,2013,NA,NA,NA
85001,2013,NA,NA,NA
85000,2013,NA,NA,NA
81000,2013,NA,NA,NA
81001,2013,NA,NA,NA
76000,2013,27.2,7.1,0.5
76001,2013,21.9,4.4,0.51
73001,2013,18.6,2.5,0.45
73000,2013,34.8,11.3,0.51
70001,2013,37.2,6.1,0.48
70000,2013,47.3,10.1,0.47
68000,2013,19.5,4.2,0.49
68001,2013,10.3,1.2,0.44
66000,2013,28.8,8.1,0.5
66001,2013,24,5.1,0.48
63001,2013,NA,NA,NA
63000,2013,35.6,9.2,0.5
54000,2013,39.4,10.7,0.48
54001,2013,31.3,6,0.44
52001,2013,30.5,4.5,0.51
52000,2013,47.6,15,0.52
50001,2013,19.5,3.1,0.44
50000,2013,27.1,7.6,0.47
47001,2013,33.8,6.5,0.46
47000,2013,50.5,15.6,0.5
44000,2013,55.8,25.7,0.56
44001,2013,43.3,12.7,0.52
41001,2013,22.9,4.6,0.48
41000,2013,47.3,17.9,0.55
27000,2013,63.1,35.6,0.6
27001,2013,49.9,17.5,0.54
25000,2013,18.9,5,0.47
23000,2013,51.8,18.6,0.53
23001,2013,34.8,6.5,0.53
20001,2013,31.4,4.4,0.46
20000,2013,44.8,12.5,0.49
19001,2013,34.2,8.1,0.51
19000,2013,58.4,28.4,0.55
18000,2013,42.4,9.5,0.47
18001,2013,37.2,7.7,0.5
17000,2013,32.2,8.8,0.52
17001,2013,16.2,2.6,0.47
15000,2013,39.3,13.7,0.53
15001,2013,19.5,2.8,0.48
13001,2013,29.2,5.8,0.48
13000,2013,41.8,12.6,0.5
11001,2013,10.2,1.6,0.5
8001,2013,29.1,4.2,0.46
8000,2013,32.4,4.3,0.45
5000,2013,24.2,6.9,0.53
5001,2013,16.1,3,0.51
1001,2013,30.6,9.1,0.54
1001,2014,28.5,8.1,0.54
5001,2014,14.7,2.8,0.53
5000,2014,24.3,7.7,0.56
8000,2014,28.6,3.9,0.45
8001,2014,25.5,3.6,0.45
11001,2014,10.1,1.9,0.5
13000,2014,39.9,10.1,0.51
13001,2014,26.6,4.3,0.48
15001,2014,19.2,4,0.47
15000,2014,38.2,13.3,0.53
17001,2014,15.7,2.2,0.47
17000,2014,29.2,7.2,0.52
18001,2014,34.1,7.3,0.49
18000,2014,39,9.7,0.47
19000,2014,54.2,25.5,0.54
19001,2014,32.5,8.1,0.49
20000,2014,40.9,12,0.47
20001,2014,27,3.6,0.42
23001,2014,20.9,1.4,0.46
23000,2014,46.3,12.3,0.5
25000,2014,16.9,3.8,0.46
27001,2014,46.2,14.5,0.5
27000,2014,65.9,39.1,0.6
41000,2014,43.9,14.2,0.55
41001,2014,19.9,3.7,0.48
44001,2014,42.4,12.4,0.52
44000,2014,53,24.8,0.55
47000,2014,48.1,13.6,0.49
47001,2014,34.1,7.2,0.47
50000,2014,23.3,6.6,0.47
50001,2014,17.1,2.8,0.45
52000,2014,42.9,11.3,0.5
52001,2014,26.9,4.1,0.5
54001,2014,33.1,5.7,0.45
54000,2014,39.9,10.5,0.49
63000,2014,31.7,6.9,0.5
63001,2014,NA,NA,NA
66001,2014,18.1,2.5,0.47
66000,2014,23.7,5.4,0.5
68001,2014,8.4,1.1,0.43
68000,2014,19.6,5.1,0.5
70000,2014,43.9,9.1,0.48
70001,2014,32.7,5.5,0.48
73000,2014,32.5,9.3,0.51
73001,2014,16.4,2.3,0.44
76001,2014,19.1,3.3,0.49
76000,2014,22.7,5.2,0.49
81001,2014,NA,NA,NA
81000,2014,NA,NA,NA
85000,2014,NA,NA,NA
85001,2014,NA,NA,NA
86000,2014,NA,NA,NA
86001,2014,NA,NA,NA
88000,2014,NA,NA,NA
91001,2014,NA,NA,NA
91000,2014,NA,NA,NA
94001,2014,NA,NA,NA
94000,2014,NA,NA,NA
95000,2014,NA,NA,NA
95001,2014,NA,NA,NA
97000,2014,NA,NA,NA
97001,2014,NA,NA,NA
99001,2014,NA,NA,NA
99000,2014,NA,NA,NA
99000,2015,NA,NA,NA
99001,2015,NA,NA,NA
97001,2015,NA,NA,NA
97000,2015,NA,NA,NA
95001,2015,NA,NA,NA
95000,2015,NA,NA,NA
94000,2015,NA,NA,NA
94001,2015,NA,NA,NA
91000,2015,NA,NA,NA
91001,2015,NA,NA,NA
88000,2015,NA,NA,NA
86001,2015,NA,NA,NA
86000,2015,NA,NA,NA
85001,2015,NA,NA,NA
85000,2015,NA,NA,NA
81000,2015,NA,NA,NA
81001,2015,NA,NA,NA
76000,2015,21.5,5.2,0.48
76001,2015,16.5,3.4,0.48
73001,2015,17.5,2.6,0.44
73000,2015,32.9,9,0.51
70001,2015,30.7,5.1,0.45
70000,2015,44.7,9.4,0.47
68000,2015,17.9,4.9,0.47
68001,2015,9.1,1.3,0.41
66000,2015,22.3,3.9,0.46
66001,2015,17.7,2.1,0.44
63001,2015,NA,NA,NA
63000,2015,31.7,9.3,0.49
54000,2015,40,11.6,0.47
54001,2015,32.9,6.9,0.44
52001,2015,25.3,4.2,0.49
52000,2015,40,10.6,0.5
50001,2015,16.6,3.1,0.45
50000,2015,21.8,5.8,0.47
47001,2015,30.7,6.5,0.46
47000,2015,44.8,12.5,0.48
44000,2015,53.3,24.3,0.55
44001,2015,41,12.7,0.52
41001,2015,21.5,4.5,0.45
41000,2015,44.3,18.9,0.54
27000,2015,62.8,37.1,0.6
27001,2015,50.2,17.8,0.53
25000,2015,17,3.9,0.44
23000,2015,46.6,12.9,0.47
23001,2015,25.2,2.1,0.45
20001,2015,30,4.6,0.45
20000,2015,42.3,11,0.48
19001,2015,30.7,7.8,0.5
19000,2015,51.6,24,0.52
18000,2015,41.3,9.1,0.48
18001,2015,32.6,6.8,0.49
17000,2015,27.9,6.6,0.51
17001,2015,13.9,1.7,0.46
15000,2015,35.4,12.6,0.54
15001,2015,18.8,3.9,0.47
13001,2015,26.2,4,0.47
13000,2015,39.3,8.3,0.49
11001,2015,10.4,2,0.5
8001,2015,22,2.4,0.44
8000,2015,25.7,2.7,0.44
5000,2015,23.7,7.3,0.52
5001,2015,14.3,3.3,0.49
1001,2015,27.8,7.9,0.52
1001,2016,28,8.5,0.52
5001,2016,14.1,2.9,0.48
5000,2016,21.9,6.6,0.51
8000,2016,25,3.1,0.43
8001,2016,21.7,2.8,0.43
11001,2016,11.6,2.3,0.5
13000,2016,41,11,0.48
13001,2016,29.1,5.5,0.46
15001,2016,17.8,3.6,0.49
15000,2016,32,10.6,0.53
17001,2016,14.6,2.5,0.48
17000,2016,27.6,7.2,0.51
18001,2016,34,7.5,0.5
18000,2016,35.8,8.7,0.47
19000,2016,50.7,22.3,0.51
19001,2016,31.4,8.5,0.48
20000,2016,41.9,12.1,0.47
20001,2016,35.5,8.7,0.46
23001,2016,31,4.3,0.46
23000,2016,44.8,10.8,0.46
25000,2016,17.3,5.3,0.44
27001,2016,49.2,19.5,0.54
27000,2016,59.8,34.7,0.57
41000,2016,45.9,20,0.53
41001,2016,23.3,5.6,0.46
44001,2016,45.5,15.3,0.52
44000,2016,52.5,25.3,0.54
47000,2016,50,18.2,0.49
47001,2016,35.1,7.1,0.45
50000,2016,24.5,7.5,0.46
50001,2016,19.8,4.7,0.45
52000,2016,45.7,16.2,0.52
52001,2016,23,3.2,0.47
54001,2016,33.4,7,0.43
54000,2016,40.4,12.4,0.47
63000,2016,30.3,7.4,0.47
63001,2016,NA,NA,NA
66001,2016,16.4,1.8,0.41
66000,2016,19.6,3.4,0.44
68001,2016,10.6,1.2,0.4
68000,2016,18,4.7,0.45
70000,2016,46.7,12,0.47
70001,2016,32.4,5.4,0.46
73000,2016,31.4,9.5,0.49
73001,2016,17.3,2.4,0.43
76001,2016,15.4,3.2,0.48
76000,2016,22.6,6.2,0.48
81001,2016,NA,NA,NA
81000,2016,NA,NA,NA
85000,2016,NA,NA,NA
85001,2016,NA,NA,NA
86000,2016,NA,NA,NA
86001,2016,NA,NA,NA
88000,2016,NA,NA,NA
91001,2016,NA,NA,NA
91000,2016,NA,NA,NA
94001,2016,NA,NA,NA
94000,2016,NA,NA,NA
95000,2016,NA,NA,NA
95001,2016,NA,NA,NA
97000,2016,NA,NA,NA
97001,2016,NA,NA,NA
99001,2016,NA,NA,NA
99000,2016,NA,NA,NA
