"dept_code","codmpio","ano","population","e_amenaza","e_desplaza","e_homic","pct_threats","pct_forced_displacement","pct_homicides","AMPI","AMPI_mean","AMPI_penalty","AMPI_cv"
5,5001,1993,1793491,183,994,6103,0.0102035638874129,0.0554226366343628,0.340286067786234,74.4592707659052,75.2771995421522,0.817928776247078,0.104237987224723
5,5001,1994,1832197,178,975,5556,0.00971511251246454,0.0532148016834434,0.303242500669961,74.4187746421601,75.2186978742595,0.799923232099344,0.103124356031021
5,5001,1995,1872241,230,1001,5567,0.0122847432568777,0.05346533913102,0.297344198743645,73.2782158473552,73.7668566804517,0.488640833096492,0.0813887238555185
5,5001,1996,1912860,217,1403,5689,0.0113442698367889,0.0733456708802526,0.297408069592129,72.4298602443703,72.639283992652,0.209423748281616,0.053694176597235
5,5001,1997,1953293,221,1589,5472,0.011314226795468,0.0813498026153782,0.280142303279641,71.7629552826999,71.8884118106301,0.125456527930174,0.0417750701146909
5,5001,1998,1992781,268,1984,5574,0.013448542514205,0.0995593595081447,0.279709611843951,72.6588210108453,72.9689127642645,0.310091753419186,0.0651892779486004
5,5001,1999,2030560,349,2236,6126,0.0171873768812544,0.110117406035773,0.301690174139154,72.6106273824917,72.9239589966828,0.313331614191117,0.0655491386082955
5,5001,2000,2065871,389,3389,6043,0.0188298301297612,0.164047029073935,0.292515844406548,71.1608528492284,71.2138704494385,0.0530176002100643,0.0272852374683741
5,5001,2001,2098618,442,4563,7143,0.0210614795069898,0.217428803145689,0.340366850946671,71.4539786352906,71.5234700472209,0.0694914119303446,0.031170321345123
5,5001,2002,2129874,585,7781,7774,0.0274664135061511,0.365326775198908,0.364998117259519,71.2963638704606,71.3469079770218,0.0505441065611738,0.0266163000558378
5,5001,2003,2159609,391,4894,4561,0.01810512921552,0.226615095602954,0.211195637728867,71.1429832639175,71.1808670794477,0.0378838155301433,0.023069873843398
5,5001,2004,2187831,223,2960,2014,0.0101927434065977,0.135293813827485,0.0920546422461333,70.7820029563235,70.7968698476898,0.0148668913662904,0.0144911567999256
5,5001,2005,2214494,219,2871,1203,0.00988939233973991,0.129645869440152,0.0543239223045987,70.7118888011397,70.723822764176,0.0119339630362749,0.0129900098566508
5,5001,2006,2239003,158,2477,1029,0.00705671229560657,0.11062959719125,0.045957955393539,70.5040231902973,70.5084270821314,0.00440389183405236,0.00790310602933027
5,5001,2007,2265244,206,3570,1023,0.00909394308074539,0.157598916496413,0.0451606979204006,70.8235888586869,70.835979427878,0.0123905691910757,0.0132257002955547
5,5001,2008,2291378,318,4148,1066,0.0138781117737885,0.181026439112185,0.0465222237448383,70.9593771710223,70.9715083011017,0.0121311300794351,0.0130740039631122
5,5001,2009,2317336,518,8444,934,0.0223532539087987,0.364383930513314,0.040304901835556,71.2301475755349,71.2446031995141,0.014455623979193,0.0142443434126668
5,5001,2010,2343049,823,12033,705,0.0351251723715552,0.513561602851669,0.0300889994191329,71.5498964562678,71.5547891738925,0.00489271762471317,0.00826905199432587
5,5001,2011,2368282,1393,18471,853,0.0588190088849216,0.77993245736783,0.0360176701929922,71.9002755895917,71.9120546583559,0.0117790687642113,0.0127983690678291
5,5001,2012,2393011,7212,18094,536,0.301377636793145,0.756118546885075,0.0223985598060352,72.9537922686806,73.1699286653882,0.216136396707573,0.0543497608741234
5,5001,2013,2417325,3936,12315,349,0.162824609847662,0.509447426390742,0.0144374463508217,71.4147231217694,71.4203923201,0.00566919833055141,0.00890942568239873
5,5001,2014,2441123,2927,8872,42,0.119903831146567,0.363439285935203,0.00172051961330912,71.4088785309946,71.4257968570061,0.0169183260115205,0.0153904439499163
5,5001,2015,2464322,1873,6019,42,0.0760046779601042,0.244245678933191,0.00170432273055226,70.8996946270987,70.9130282180682,0.0133335909695457,0.0137123076441717
5,5001,2016,2486723,1171,3216,24,0.0470900860288822,0.129326828923045,0.000965125588977944,70.8009719148993,70.8157620031799,0.0147900882806049,0.0144517492236259
5,5001,2017,2508452,1022,3760,13,0.040742258572219,0.14989324093106,0.00051824790747441,70.5634704745078,70.5682433160306,0.00477284152281837,0.0082240142450803
